Fh [kN],u [mm]
-31.44,-1.235471757
-31.63,-1.254022623
-31.94,-1.274854171
-32.01,-1.29291095
-32.02,-1.313980853
-32.15,-1.323486661
-32.45,-1.342182789
-32.56,-1.359710777
-32.52,-1.378640764
-32.7,-1.399549475
-33.01,-1.413423943
-33.06,-1.424678142
-33.02,-1.445746151
-33.22,-1.462614467
-33.55,-1.478155395
-33.45,-1.487259542
-33.64,-1.51254237
-33.8,-1.526465066
-33.96,-1.549298255
-33.98,-1.56137026
-34.12,-1.576230832
-34.48,-1.590504446
-34.64,-1.613235088
-34.93,-1.631187658
-35.03,-1.649230045
-35.37,-1.665244769
-35.51,-1.688036006
-35.72,-1.709213417
-35.67,-1.722235645
-36.19,-1.739315177
-36.24,-1.762765205
-36.5,-1.778419312
-36.57,-1.800364058
-36.85,-1.820397214
-36.91,-1.833371545
-37.25,-1.85180374
-37.22,-1.874093973
-37.62,-1.888674984
-37.69,-1.915585175
-37.78,-1.931235327
-37.96,-1.952100837
-38.23,-1.970173072
-38.28,-1.987812542
-38.53,-2.014414231
-38.58,-2.032468557
-38.74,-2.051938258
-38.99,-2.067086564
-39.06,-2.097201018
-39.13,-2.119358942
-39.36,-2.140509117
-39.53,-2.160388487
-39.53,-2.189290829
-39.72,-2.21418079
-39.95,-2.236449062
-39.97,-2.257269256
-39.98,-2.283474833
-40.31,-2.300974839
-40.15,-2.333548952
-40.5,-2.350421413
-40.3,-2.379473115
-40.09,-2.39430499
-39.89,-2.394699299
-39.57,-2.386854423
-39.54,-2.396122461
-36.02,-2.427961976
-36.14,-2.41901728
-36.43,-2.431164116
-35.95,-2.42310054
-36.21,-2.423545106
-36.45,-2.42178487
-35.92,-2.421266607
-36.28,-2.431513216
-36.42,-2.42679058
-35.91,-2.422416413
-36.31,-2.430352325
-36.4,-2.428182324
-35.92,-2.425610238
-36.4,-2.42425824
-36.37,-2.420549173
-35.9,-2.425686074
-36.42,-2.426014176
-36.37,-2.420848261
-35.91,-2.424322741
-36.43,-2.427625071
-36.35,-2.422022191
-35.11,-2.405669476
-34.87,-2.386689698
-34.42,-2.372080623
-33.46,-2.344067976
-33.08,-2.333603673
-32.3,-2.309421078
-32.22,-2.287303459
-31.57,-2.271804866
-31.61,-2.246022134
-30.97,-2.234973159
-31.02,-2.209026352
-30.46,-2.192958434
-30.41,-2.164005535
-29.96,-2.143605211
-29.72,-2.121761108
-29.57,-2.107720607
-29.36,-2.088621565
-28.95,-2.068870821
-28.63,-2.0518684
-28.48,-2.036507759
-28.39,-2.016267736
-28.01,-1.999178917
-27.63,-1.977803417
-27.47,-1.964804007
-27.42,-1.938351128
-27,-1.924150785
-26.74,-1.902386755
-26.74,-1.89043697
-26.45,-1.870759187
-26.08,-1.859444768
-25.76,-1.834577644
-25.93,-1.819435556
-25.6,-1.799464756
-25.11,-1.775476751
-25.1,-1.754601815
-25.13,-1.749165531
-24.64,-1.725855958
-24.4,-1.696819845
-24.52,-1.687416935
-24.14,-1.669881331
-23.67,-1.65837611
-23.79,-1.633179795
-23.66,-1.621906164
-23.25,-1.595929026
-23.08,-1.576372432
-23.17,-1.563023949
-22.85,-1.54435109
-22.44,-1.526668993
-22.44,-1.509481941
-22.31,-1.49330291
-22.03,-1.480745807
-21.73,-1.459608972
-21.51,-1.442406199
-21.43,-1.423607452
-21.29,-1.409293405
-21.12,-1.388572606
-20.95,-1.371817454
-20.48,-1.349552002
-20.38,-1.34071138
-20.28,-1.312237412
-20.15,-1.299138856
-20,-1.282691028
-19.77,-1.263628416
-19.18,-1.24188672
-19.22,-1.224571302
-18.83,-1.206476283
-18.56,-1.186109877
-18.41,-1.174689039
-18.17,-1.158544904
-17.7,-1.133370756
-17.27,-1.118446401
-16.87,-1.097645168
-16.77,-1.082042051
-16.34,-1.062600864
-15.64,-1.048349514
-15.44,-1.028513572
-15.01,-1.008301052
-14.62,-0.991084365
-13.89,-0.972157193
-13.49,-0.95047576
-13.29,-0.935576503
-12.77,-0.921251961
-12.07,-0.893672653
