image_names,cumulative deformation(mm),damage_index,times(s)
LS22_to_LS23_RS3_0057,85.82295695200013,4.502545232410293,1377
LS22_to_LS23_RS3_0058,85.97293986900013,4.509092190609303,1378
LS22_to_LS23_RS3_0059,86.13477686400013,4.516143781067334,1379
LS22_to_LS23_RS3_0060,86.29143976300013,4.522956828570687,1380
LS22_to_LS23_RS3_0061,86.44522332300012,4.529631716326454,1381
LS22_to_LS23_RS3_0062,86.61041316400012,4.536786947510533,1382
LS22_to_LS23_RS3_0063,86.77185397000012,4.543764575940216,1383
LS22_to_LS23_RS3_0064,86.92101068400012,4.55019750726586,1384
LS23_to_LS24_RS3_0000,86.93082071300012,4.550620128295968,1384
LS23_to_LS24_RS3_0001,86.93241928200011,4.550688989880873,1385
LS23_to_LS24_RS3_0002,87.08015150700011,4.557046040612912,1386
LS23_to_LS24_RS3_0003,87.21228470700011,4.562720241505351,1387
LS23_to_LS24_RS3_0004,87.34706783300011,4.568496671845393,1388
LS23_to_LS24_RS3_0005,87.47621022700011,4.5740201519418235,1389
LS23_to_LS24_RS3_0006,87.60555108100012,4.579540890742246,1390
LS23_to_LS24_RS3_0007,87.74317936900012,4.585402760909802,1391
LS23_to_LS24_RS3_0008,87.87207162400011,4.590880511340108,1392
LS23_to_LS24_RS3_0009,88.01227997600012,4.596825683827197,1393
LS23_to_LS24_RS3_0010,88.14865262200011,4.602594441685966,1394
LS23_to_LS24_RS3_0011,88.2903980070001,4.6085757800705345,1395
LS23_to_LS24_RS3_0012,88.42004863400011,4.614033369916963,1396
LS23_to_LS24_RS3_0013,88.55033713800012,4.619504687944598,1397
LS23_to_LS24_RS3_0014,88.68736896100012,4.625244724943504,1398
LS23_to_LS24_RS3_0015,88.81833693900012,4.630716648411752,1399
LS23_to_LS24_RS3_0016,88.95047611600012,4.636223276475029,1400
LS23_to_LS24_RS3_0017,89.08598967600012,4.641855417287629,1401
LS23_to_LS24_RS3_0018,89.21096855900012,4.6470359281813955,1402
LS23_to_LS24_RS3_0019,89.34376086100012,4.652525565886766,1403
LS23_to_LS24_RS3_0020,89.47132508500012,4.657784532134391,1404
LS23_to_LS24_RS3_0021,89.59164905300011,4.662731799414492,1405
LS23_to_LS24_RS3_0022,89.69313334400012,4.6668945382859945,1406
LS23_to_LS24_RS3_0023,89.82104355300012,4.672128447692007,1407
LS23_to_LS24_RS3_0024,89.94728578800013,4.677280281966571,1408
LS23_to_LS24_RS3_0025,90.07605799800012,4.682521382509528,1409
LS23_to_LS24_RS3_0026,90.20547240900012,4.6877745693795365,1410
LS23_to_LS24_RS3_0027,90.33502197200012,4.693019308544876,1411
LS23_to_LS24_RS3_0028,90.47181101800012,4.6985421963808935,1412
LS23_to_LS24_RS3_0029,90.60649452000013,4.703965278308403,1413
LS23_to_LS24_RS3_0030,90.73352693700012,4.70906701230514,1414
LS23_to_LS24_RS3_0031,90.88513174200013,4.715138963745691,1415
LS23_to_LS24_RS3_0032,91.02118506400012,4.720572869550154,1416
LS23_to_LS24_RS3_0033,91.16014654700012,4.7261083119358425,1417
LS23_to_LS24_RS3_0034,91.30153755300013,4.731725596584453,1418
LS23_to_LS24_RS3_0035,91.44035946100013,4.737226375863628,1419
LS23_to_LS24_RS3_0036,91.57607119400012,4.742590294796356,1420
LS23_to_LS24_RS3_0037,91.72191916700012,4.748340061664874,1421
LS23_to_LS24_RS3_0038,91.86238671200013,4.753863468363959,1422
LS23_to_LS24_RS3_0039,92.00844850300012,4.759592266959615,1423
LS23_to_LS24_RS3_0040,92.14630288400012,4.764985742072366,1424
LS23_to_LS24_RS3_0041,92.28926545700013,4.770565542933365,1425
LS23_to_LS24_RS3_0042,92.43053094300012,4.776065803442178,1426
LS23_to_LS24_RS3_0043,92.56826998000012,4.781416244506348,1427
LS23_to_LS24_RS3_0044,92.72362777000012,4.787436519061597,1428
LS23_to_LS24_RS3_0045,92.86746595200012,4.7929968860278755,1429
LS23_to_LS24_RS3_0046,93.00796892300012,4.7984160171533485,1430
LS23_to_LS24_RS3_0047,93.16108411900012,4.804308011525102,1431
LS23_to_LS24_RS3_0048,93.29998147900012,4.8096408727122135,1432
LS23_to_LS24_RS3_0049,93.45248563000013,4.815483252660327,1433
LS23_to_LS24_RS3_0050,93.58679663100013,4.820617694268915,1434
LS23_to_LS24_RS3_0051,93.73171143800013,4.826146215179051,1435
LS23_to_LS24_RS3_0052,93.87996668800014,4.831790304628752,1436
LS23_to_LS24_RS3_0053,94.01995350200013,4.837108829523255,1437
LS23_to_LS24_RS3_0054,94.17368833300013,4.842937882843474,1438
LS23_to_LS24_RS3_0055,94.31576010500012,4.84831397976794,1439
LS23_to_LS24_RS3_0056,94.46457726900012,4.8539345264889455,1440
LS23_to_LS24_RS3_0057,94.60771349100011,4.859330332071549,1441
LS23_to_LS24_RS3_0058,94.76236601600012,4.865149322432202,1442
LS23_to_LS24_RS3_0059,94.90646947200011,4.870561415098363,1443
LS23_to_LS24_RS3_0060,95.0534168540001,4.87607066271278,1444
LS23_to_LS24_RS3_0061,95.2157775870001,4.882146746730172,1445
LS23_to_LS24_RS3_0062,95.3653363360001,4.887733779079128,1446
LS23_to_LS24_RS3_0063,95.5176159900001,4.893412930559288,1447
LS23_to_LS24_RS3_0064,95.6618360060001,4.8987828990628834,1448
LS24_to_LS25_RS3_0000,95.6783234240001,4.899396278724639,1448
LS24_to_LS25_RS3_0001,95.7197568810001,4.900937256908463,1449
LS24_to_LS25_RS3_0002,95.8419692320001,4.9054786968722786,1450
LS24_to_LS25_RS3_0003,95.9834040610001,4.910727446243195,1451
LS24_to_LS25_RS3_0004,96.1211845480001,4.915833563585057,1452
LS24_to_LS25_RS3_0005,96.2587501890001,4.9209250222570216,1453
LS24_to_LS25_RS3_0006,96.4016411630001,4.92620671791147,1454
LS24_to_LS25_RS3_0007,96.5319961620001,4.931019144670778,1455
LS24_to_LS25_RS3_0008,96.6781159530001,4.936407109528294,1456
LS24_to_LS25_RS3_0009,96.8190644500001,4.941598142774222,1457
LS24_to_LS25_RS3_0010,96.9600047240001,4.946782967503214,1458
LS24_to_LS25_RS3_0011,97.1003631450001,4.951940742487264,1459
LS24_to_LS25_RS3_0012,97.2448569500001,4.957244832081866,1460
LS24_to_LS25_RS3_0013,97.3772489070001,4.962099860532449,1461
LS24_to_LS25_RS3_0014,97.5185036100001,4.967275029149447,1462
LS24_to_LS25_RS3_0015,97.6612992570001,4.97250176909016,1463
LS24_to_LS25_RS3_0016,97.79823810000009,4.977509736618642,1464
LS24_to_LS25_RS3_0017,97.93601077500009,4.982544066934062,1465
LS24_to_LS25_RS3_0018,98.07305188600009,4.987547762976593,1466
LS24_to_LS25_RS3_0019,98.20505281000008,4.992363944189904,1467
LS24_to_LS25_RS3_0020,98.34094364500008,4.99731867768209,1468
LS24_to_LS25_RS3_0021,98.47246930700008,5.002111180183011,1469
LS24_to_LS25_RS3_0022,98.60327659400008,5.0068746933797055,1470
LS24_to_LS25_RS3_0023,98.73258930000007,5.011581198874151,1471
LS24_to_LS25_RS3_0024,98.86546046300008,5.016414730401093,1472
LS24_to_LS25_RS3_0025,98.99647335400007,5.021178375420755,1473
LS24_to_LS25_RS3_0026,99.11730365400007,5.025569924456715,1474
LS24_to_LS25_RS3_0027,99.24350204500007,5.030154832817025,1475
LS24_to_LS25_RS3_0028,99.36051413200008,5.03440454235198,1476
LS24_to_LS25_RS3_0029,99.47932611000007,5.03871832849053,1477
LS24_to_LS25_RS3_0030,99.60575253200007,5.0433072977124285,1478
LS24_to_LS25_RS3_0031,99.73328452500007,5.047935222002893,1479
LS24_to_LS25_RS3_0032,99.86410351400008,5.052681375160702,1480
LS24_to_LS25_RS3_0033,99.99699065800007,5.057501656404285,1481
LS24_to_LS25_RS3_0034,100.12897357900007,5.062288421224622,1482
LS24_to_LS25_RS3_0035,100.27325046200008,5.067520465825075,1483
LS24_to_LS25_RS3_0036,100.40345158600007,5.07224172700764,1484
LS24_to_LS25_RS3_0037,100.53984639500007,5.077187432776618,1485
LS24_to_LS25_RS3_0038,100.68028321400007,5.082279758844042,1486
LS24_to_LS25_RS3_0039,100.81823942200008,5.087282405990783,1487
LS24_to_LS25_RS3_0040,100.95489233600007,5.0922382650869435,1488
LS24_to_LS25_RS3_0041,101.10410204300007,5.097650289572775,1489
LS24_to_LS25_RS3_0042,101.24055389900006,5.102600505053867,1490
LS24_to_LS25_RS3_0043,101.37400421200006,5.107442896528513,1491
LS24_to_LS25_RS3_0044,101.52307653100006,5.112853633685453,1492
LS24_to_LS25_RS3_0045,101.66356688500005,5.11795454408859,1493
LS24_to_LS25_RS3_0046,101.80178944900005,5.122974913785408,1494
LS24_to_LS25_RS3_0047,101.94861821000005,5.128310061191233,1495
LS24_to_LS25_RS3_0048,102.09000517800006,5.13344984496175,1496
LS24_to_LS25_RS3_0049,102.23228265400006,5.1386245803488855,1497
LS24_to_LS25_RS3_0050,102.38343729600005,5.144125278580305,1498
LS24_to_LS25_RS3_0051,102.52541196300005,5.149295053058672,1499
LS24_to_LS25_RS3_0052,102.66462168800005,5.154367333700762,1500
LS24_to_LS25_RS3_0053,102.81541125300005,5.159865354526366,1501
LS24_to_LS25_RS3_0054,102.96321944900005,5.165258779403137,1502
LS24_to_LS25_RS3_0055,103.10695417900006,5.170507717014424,1503
LS24_to_LS25_RS3_0056,103.25190549300005,5.1758054725980385,1504
LS24_to_LS25_RS3_0057,103.39934005700005,5.181198762915226,1505
LS24_to_LS25_RS3_0058,103.55168425900004,5.186776984682873,1506
LS24_to_LS25_RS3_0059,103.70011637800005,5.19221744371854,1507
LS24_to_LS25_RS3_0060,103.85631264200005,5.197948615364469,1508
LS24_to_LS25_RS3_0061,104.00718629300005,5.203490745793747,1509
LS24_to_LS25_RS3_0062,104.16274627400004,5.209211756054745,1510
LS24_to_LS25_RS3_0063,104.32135733100004,5.215052326415379,1511
LS24_to_LS25_RS3_0064,104.37685712300005,5.217097819683767,1512
LS25_to_LS26_RS3_0000,104.39154057700006,5.217639151508643,1512
LS25_to_LS26_RS3_0001,104.44852702600005,5.219740701331818,1513
LS25_to_LS26_RS3_0002,104.61960477000005,5.226055980639071,1514
LS25_to_LS26_RS3_0003,104.80058403800005,5.23274735034959,1515
LS25_to_LS26_RS3_0004,104.97351454700005,5.239151725714223,1516
LS25_to_LS26_RS3_0005,105.15698101000005,5.245958083820503,1517
LS25_to_LS26_RS3_0006,105.33498071200005,5.252573696166246,1518
LS25_to_LS26_RS3_0007,105.51802710300005,5.259389750898012,1519
LS25_to_LS26_RS3_0008,105.70530800900005,5.2663775078923925,1520
LS25_to_LS26_RS3_0009,105.88320109300005,5.27302860295577,1521
LS25_to_LS26_RS3_0010,106.06583066300006,5.279871068832344,1522
LS25_to_LS26_RS3_0011,106.24544422900006,5.286615121864563,1523
LS25_to_LS26_RS3_0012,106.42775381500006,5.293475678568674,1524
LS25_to_LS26_RS3_0013,106.60394536700007,5.300121084732952,1525
LS25_to_LS26_RS3_0014,106.78120705300006,5.306822261607519,1526
LS25_to_LS26_RS3_0015,106.95898507900006,5.313558931597687,1527
LS25_to_LS26_RS3_0016,107.12947373200006,5.3200347143157485,1528
LS25_to_LS26_RS3_0017,107.26751298200007,5.325288848100628,1529
LS25_to_LS26_RS3_0018,107.44940451200007,5.332226746164397,1530
LS25_to_LS26_RS3_0019,107.61573784600007,5.33858551570123,1531
LS25_to_LS26_RS3_0020,107.79814113900008,5.345574032841893,1532
LS25_to_LS26_RS3_0021,107.97681034900008,5.352434801870236,1533
LS25_to_LS26_RS3_0022,108.15396735400007,5.3592521631867385,1534
LS25_to_LS26_RS3_0023,108.34038520500008,5.366441329551698,1535
LS25_to_LS26_RS3_0024,108.51899035000008,5.373343721130738,1536
LS25_to_LS26_RS3_0025,108.72088675700009,5.38116294438288,1537
LS25_to_LS26_RS3_0026,108.90042842200009,5.388130946687559,1538
LS25_to_LS26_RS3_0027,109.09098266500008,5.395540967479059,1539
LS25_to_LS26_RS3_0028,109.27781571600008,5.402820545251346,1540
LS25_to_LS26_RS3_0029,109.46262298300007,5.410034734553194,1541
LS25_to_LS26_RS3_0030,109.65825246200008,5.417685674479937,1542
LS25_to_LS26_RS3_0031,109.85105678100008,5.425240116329505,1543
LS25_to_LS26_RS3_0032,110.04192833700009,5.432732126271715,1544
LS25_to_LS26_RS3_0033,110.23146715300008,5.44018454150153,1545
LS25_to_LS26_RS3_0034,110.42683587800008,5.447879051990956,1546
LS25_to_LS26_RS3_0035,110.61758540700008,5.455403859212982,1547
LS25_to_LS26_RS3_0036,110.81561170100008,5.463228092318164,1548
LS25_to_LS26_RS3_0037,111.00747248100008,5.470820342124643,1549
LS25_to_LS26_RS3_0038,111.19645379400008,5.478309451656645,1550
LS25_to_LS26_RS3_0039,111.39121157200007,5.486038305689985,1551
LS25_to_LS26_RS3_0040,111.57761936200008,5.493445723840485,1552
LS25_to_LS26_RS3_0041,111.77416347600008,5.501266059679226,1553
LS25_to_LS26_RS3_0042,111.97220693600008,5.509156152201272,1554
LS25_to_LS26_RS3_0043,112.16932345100008,5.517018963313432,1555
LS25_to_LS26_RS3_0044,112.36239172600008,5.5247292228816685,1556
LS25_to_LS26_RS3_0045,112.56135256200008,5.5326836329197455,1557
LS25_to_LS26_RS3_0046,112.75945589700008,5.540612242854613,1558
LS25_to_LS26_RS3_0047,112.96597209400008,5.548886111127744,1559
LS25_to_LS26_RS3_0048,113.16490478600008,5.556863968847642,1560
LS25_to_LS26_RS3_0049,113.36388401200009,5.564850930417464,1561
LS25_to_LS26_RS3_0050,113.58333396800009,5.573667460279778,1562
LS25_to_LS26_RS3_0051,113.78585965000009,5.581810900135763,1563
LS25_to_LS26_RS3_0052,113.9478805790001,5.58833009063997,1564
LS26_to_LS27_RS3_0000,113.9849744810001,5.589823153751101,1564
LS26_to_LS27_RS3_0001,113.9923683640001,5.5901207870500125,1565
LS26_to_LS27_RS3_0002,113.9976503870001,5.590333414170375,1566
LS26_to_LS27_RS3_0003,114.0723102010001,5.593339241501339,1567
LS26_to_LS27_RS3_0004,114.26003916200011,5.600900504258293,1568
LS26_to_LS27_RS3_0005,114.44537178600011,5.608369510478299,1569
LS26_to_LS27_RS3_0006,114.62887568500011,5.615768648698276,1570
LS26_to_LS27_RS3_0007,114.82049671000011,5.62349878393555,1571
LS26_to_LS27_RS3_0008,115.01054336100012,5.631168772604274,1572
LS26_to_LS27_RS3_0009,115.20091458600012,5.638854844487821,1573
LS26_to_LS27_RS3_0010,115.39119171000013,5.646539726555966,1574
LS26_to_LS27_RS3_0011,115.57808119300013,5.654089965896523,1575
LS26_to_LS27_RS3_0012,115.76284888300013,5.661556256605838,1576
LS26_to_LS27_RS3_0013,115.96122811500013,5.669574144138589,1577
LS26_to_LS27_RS3_0014,116.14373076300012,5.676951424828307,1578
LS26_to_LS27_RS3_0015,116.33728765500013,5.684776297965167,1579
LS26_to_LS27_RS3_0016,116.52074523300013,5.692193248843858,1580
LS26_to_LS27_RS3_0017,116.70716737500013,5.699730059816165,1581
LS26_to_LS27_RS3_0018,116.88580886000013,5.706951990586869,1582
LS26_to_LS27_RS3_0019,117.05568867800012,5.713819137879112,1583
LS26_to_LS27_RS3_0020,117.23998397000013,5.721268059612399,1584
LS26_to_LS27_RS3_0021,117.41590800000013,5.728377401001575,1585
LS26_to_LS27_RS3_0022,117.60129956000013,5.735867710128334,1586
LS26_to_LS27_RS3_0023,117.77278986300013,5.742794587970486,1587
LS26_to_LS27_RS3_0024,117.95067123900013,5.7499775029325,1588
LS26_to_LS27_RS3_0025,118.12511443900013,5.757019201839499,1589
LS26_to_LS27_RS3_0026,118.29227266100013,5.763764348778702,1590
