image_names,cumulative deformation(mm),degraded stiff(KN/mm),times(s)
LS08_to_LS09_RS3_0040,8.928512399999997,47.18314652932377,325
LS08_to_LS09_RS3_0041,8.958516955999997,47.17768907388734,326
LS08_to_LS09_RS3_0042,9.000212256999998,47.17010521738516,327
LS08_to_LS09_RS3_0043,9.029094347999997,47.16485192436715,328
LS08_to_LS09_RS3_0044,9.064397391999998,47.15843073988436,329
LS08_to_LS09_RS3_0045,9.097895869999999,47.152337783505565,330
LS08_to_LS09_RS3_0046,9.127917866999999,47.14687715576823,331
LS08_to_LS09_RS3_0047,9.167911547,47.139602802955324,332
LS08_to_LS09_RS3_0048,9.194166404999999,47.13482737093344,333
LS08_to_LS09_RS3_0049,9.231402808999999,47.12805453232044,334
LS08_to_LS09_RS3_0050,9.268605253999999,47.12128787042704,335
LS08_to_LS09_RS3_0051,9.297868189999999,47.115965306441794,336
LS08_to_LS09_RS3_0052,9.339973615,47.10830685348654,337
LS08_to_LS09_RS3_0053,9.374141048,47.102092222516006,338
LS08_to_LS09_RS3_0054,9.415235527,47.09461764806053,339
LS08_to_LS09_RS3_0055,9.456329007,47.08714325531072,340
LS09_to_LS10_RS3_0001,9.470307939000001,47.08460066149801,341
LS09_to_LS10_RS3_0002,9.484779632000002,47.081968440590046,342
LS09_to_LS10_RS3_0003,9.522380115000002,47.075129380536616,343
LS09_to_LS10_RS3_0004,9.549367322000002,47.070220743343114,344
LS09_to_LS10_RS3_0005,9.581607958000001,47.06435657277475,345
LS09_to_LS10_RS3_0006,9.610297407000001,47.059138318939794,346
LS09_to_LS10_RS3_0007,9.639574187000001,47.05381323690319,347
LS09_to_LS10_RS3_0008,9.671016226,47.048094321193425,348
LS09_to_LS10_RS3_0009,9.706866289,47.04157364076024,349
LS09_to_LS10_RS3_0010,9.737113285000001,47.03607208850412,350
LS09_to_LS10_RS3_0011,9.766527278000002,47.030722049129935,351
LS09_to_LS10_RS3_0012,9.795580970000001,47.02543754402499,352
LS09_to_LS10_RS3_0013,9.827266040000001,47.01967442399999,353
LS09_to_LS10_RS3_0014,9.864342425000002,47.012930690852215,354
LS09_to_LS10_RS3_0015,9.894534033000003,47.00743921298419,355
LS09_to_LS10_RS3_0016,9.915068771000003,47.00370419962376,356
LS09_to_LS10_RS3_0017,9.950397700000003,46.99727830698152,357
LS09_to_LS10_RS3_0018,9.982625402000004,46.99141648894684,358
LS09_to_LS10_RS3_0019,10.009976196000004,46.98644171980158,359
LS09_to_LS10_RS3_0020,10.036899723000003,46.98154466520781,360
LS09_to_LS10_RS3_0021,10.067730546000003,46.97593692208404,361
LS09_to_LS10_RS3_0022,10.089643131000004,46.971951295496716,362
LS09_to_LS10_RS3_0023,10.122761030000005,46.96592756170307,363
LS09_to_LS10_RS3_0024,10.147844731000005,46.89743513816207,364
LS09_to_LS10_RS3_0025,10.173042393000005,46.828631537850185,365
LS09_to_LS10_RS3_0026,10.183023937000005,46.80137638362709,366
LS09_to_LS10_RS3_0027,10.215952588000006,46.71146289315271,367
LS09_to_LS10_RS3_0028,10.234257568000006,46.66148013968784,368
LS09_to_LS10_RS3_0029,10.264504112000006,46.57889028971715,369
LS09_to_LS10_RS3_0030,10.285537125000006,46.52145849228266,370
LS09_to_LS10_RS3_0031,10.311544498000007,46.450443931604205,371
LS09_to_LS10_RS3_0032,10.340620450000007,46.37105044739541,372
LS09_to_LS10_RS3_0033,10.375133714000006,46.27681008407462,373
LS09_to_LS10_RS3_0034,10.408426132000006,46.18590330782338,374
LS09_to_LS10_RS3_0035,10.438526292000006,46.103713167406234,375
LS09_to_LS10_RS3_0036,10.470853746000007,46.01544127836681,376
LS09_to_LS10_RS3_0037,10.505721616000006,45.920232643882905,377
LS09_to_LS10_RS3_0038,10.536139593000007,45.83717468668814,378
