image_names,u [mm],Fh [kN]
LS07_to_LS08_RS3_0045,0.461423628,25.14
LS07_to_LS08_RS3_0046,0.501054469,26.34
LS07_to_LS08_RS3_0047,0.53189386,27.52
LS07_to_LS08_RS3_0048,0.570979991,28.71
LS07_to_LS08_RS3_0049,0.609074138,29.87
LS07_to_LS08_RS3_0050,0.641255529,30.98
LS07_to_LS08_RS3_0051,0.690208716,32.09
LS07_to_LS08_RS3_0052,0.725278917,33.14
LS07_to_LS08_RS3_0053,0.757477995,34.17
LS07_to_LS08_RS3_0054,0.798202142,35.13
LS07_to_LS08_RS3_0055,0.817437975,35.19
LS08_to_LS09_RS3_0001,0.831316575,33.22
LS08_to_LS09_RS3_0002,0.83309728,33.19
LS08_to_LS09_RS3_0003,0.822116307,31.51
LS08_to_LS09_RS3_0004,0.78787111,29.75
LS08_to_LS09_RS3_0005,0.759717631,27.51
LS08_to_LS09_RS3_0006,0.730822904,25.58
LS08_to_LS09_RS3_0007,0.696176923,23.74
LS08_to_LS09_RS3_0008,0.661911254,22.02
LS08_to_LS09_RS3_0009,0.633850601,20.25
LS08_to_LS09_RS3_0010,0.603388896,18.76
LS08_to_LS09_RS3_0011,0.569023398,17.16
LS08_to_LS09_RS3_0012,0.533187317,15.61
LS08_to_LS09_RS3_0013,0.501687669,14.13
LS08_to_LS09_RS3_0014,0.47413827,12.64
LS08_to_LS09_RS3_0015,0.44040557,11.21
LS08_to_LS09_RS3_0016,0.415430014,9.815
LS08_to_LS09_RS3_0017,0.382565704,8.43
LS08_to_LS09_RS3_0018,0.352702018,7.077
LS08_to_LS09_RS3_0019,0.327033643,5.64
LS08_to_LS09_RS3_0020,0.28954117,4.242
LS08_to_LS09_RS3_0021,0.265036704,2.908
LS08_to_LS09_RS3_0022,0.232873121,1.754
LS08_to_LS09_RS3_0023,0.200747759,0.6779
LS08_to_LS09_RS3_0024,0.180802632,-0.3685
LS08_to_LS09_RS3_0025,0.160014615,-1.42
LS08_to_LS09_RS3_0026,0.14361163,-2.344
LS08_to_LS09_RS3_0027,0.115151162,-3.31
LS08_to_LS09_RS3_0028,0.092328825,-4.442
LS08_to_LS09_RS3_0029,0.062714546,-5.611
LS08_to_LS09_RS3_0030,0.032630369,-6.866
LS08_to_LS09_RS3_0031,0.007501044,-8.112
LS08_to_LS09_RS3_0032,-0.02469262,-9.38
LS08_to_LS09_RS3_0033,-0.051511699,-10.67
LS08_to_LS09_RS3_0034,-0.079514759,-11.96
LS08_to_LS09_RS3_0035,-0.107146042,-13.26
LS08_to_LS09_RS3_0036,-0.136687714,-14.59
LS08_to_LS09_RS3_0037,-0.171770024,-15.94
LS08_to_LS09_RS3_0038,-0.187530585,-17.29
LS08_to_LS09_RS3_0039,-0.236700315,-18.69
LS08_to_LS09_RS3_0040,-0.269320152,-20.11
LS08_to_LS09_RS3_0041,-0.299324708,-21.59
